id,email_address,first_name,last_name,address,city,county_name,state,zip,website_source,phone_number,gender,dob,registration_date,valid,extra,email_id,ethnicity,ownrent,domain,main_interest,sub_interest,latitude,longitude,uploaded,country,websource_id,interest_ids,DNC,source,first_name_norm,last_name_norm,zip_norm,first_name_cleaning_candidate,last_name_cleaning_candidate,name_cleaning_candidate,email_blank,email_syntax_failure,proposed_email_export_eligible,zip_state_assessable,geography_mismatch_candidate
1,melissa.moore1@test.org,Melissa,Moore,206 Main St,San Diego,San Diego County,SC,29050,test.org,954-204-9935,M,1987-07-02,2020-02-07,1,,email_1,Hispanic,,test.org,technology,investing,41.468451,-86.427126,2020-02-07,US,54,"15,79",,import,melissa,moore,29050,0,0,0,0,0,1,1,0
2,lisa.moore2@test.org,Lisa,Moore,1239 Main St,San Antonio,San Antonio County,WV,24702,mail.com,304-194-7224,M,1972-06-20,2022-01-24,1,,email_2,Asian,,mail.com,sports,organic,26.812405,-108.875195,2022-01-24,US,81,"40,74",,api,lisa,moore,24702,0,0,0,0,0,1,1,0
3,jennifer.anderson3@example.com,Jennifer,Anderson,5413 Main St,Fort Worth,Fort Worth County,AZ,85484,mail.com,664-750-6977,M,1973-06-07,2025-05-23,1,,email_3,,,mail.com,sports,casual,37.285217,-111.535399,2025-05-23,US,60,"25,68",,api,jennifer,anderson,85484,0,0,0,0,0,1,1,0
4,robert.lee4@web.net,Robert,Lee,8448 Main St,Dallas,Dallas County,WI,53385,example.com,416-680-6155,M,1991-08-13,2025-08-05,1,,email_4,Black,Own,example.com,finance,fitness,42.181318,-101.436139,2025-08-05,US,75,"26,74",0,api,robert,lee,53385,0,0,0,0,0,1,1,0
5,linda.martinez5@business.io,Linda,Martinez,4415 Main St,Philadelphia,Philadelphia County,NM,87087,business.io,632-710-2040,F,1974-10-15,2024-05-18,1,,email_5,White,,business.io,sports,fitness,42.677771,-106.290349,2024-05-18,US,38,"28,61",1,web,linda,martinez,87087,0,0,0,0,0,1,1,0
6,michael.green6@mail.com,Michael,Green,1233 Main St,Indianapolis,Indianapolis County,NY,11841,company.co,403-256-7126,M,1984-09-01,2024-06-16,1,,email_6,White,Own,company.co,travel,fitness,30.507403,-111.752062,2024-06-16,US,73,"6,56",,manual,michael,green,11841,0,0,0,0,0,1,1,0
7,david.nelson7@web.net,David,Nelson,9738 Main St,Seattle,Seattle County,WV,26216,test.org,471-640-7932,M,1984-12-23,2021-12-10,1,,email_7,Asian,,test.org,travel,rock,45.691124,-100.168262,2021-12-10,US,32,"15,55",1,web,david,nelson,26216,0,0,0,0,0,1,1,0
8,joseph.smith8@example.com,Joseph,Smith,5904 Main St,Los Angeles,Los Angeles County,OH,43974,test.org,269-132-6413,M,1982-04-09,2025-08-07,1,,email_8,Other,Own,test.org,music,investing,43.046247,-80.587665,2025-08-07,US,25,"7,57",,manual,joseph,smith,43974,0,0,0,0,0,1,1,0
9,george.brown9@business.io,George,Brown,1628 Main St,Houston,Houston County,NE,69775,example.com,612-845-6559,M,1965-04-07,2024-08-05,1,,email_9,Asian,Own,example.com,health,rock,30.745548,-74.220392,2024-08-05,US,57,"36,57",0,web,george,brown,69775,0,0,0,0,0,1,1,0
10,anthony.young10@web.net,Anthony,Young,5238 Main St,San Antonio,San Antonio County,WV,24282,web.net,260-268-7209,M,1974-05-26,2026-08-10,1,,email_10,Asian,,web.net,music,casual,29.367651,-113.026451,2026-08-10,US,8,"38,98",,web,anthony,young,24282,0,0,0,0,0,1,1,0
11,donald.allen11@company.co,Donald,Allen,3446 Main St,Philadelphia,Philadelphia County,AR,71967,example.com,720-182-4044,M,1988-02-22,2026-04-13,1,,email_11,White,,example.com,finance,mobile,39.245775,-101.942630,2026-04-13,US,75,"37,84",1,import,donald,allen,71967,1,0,0,0,0,1,1,0
12,thomas.sanchez12@test.org,Thomas,Sanchez,9000 Main St,San Jose,San Jose County,TN,38401,web.net,523-869-2188,M,1979-10-19,2020-02-18,1,,email_12,Hispanic,,web.net,health,casual,46.464966,-76.552470,2020-02-18,US,32,"24,69",0,manual,thomas,sanchez,38401,0,0,0,0,0,1,1,0
13,james.nelson13@company.co,James,Nelson,1612 Main St,San Jose,San Jose County,VT,05876,business.io,306-999-3200,F,1957-02-24,2024-03-09,1,,email_13,Black,,business.io,finance,domestic,29.682738,-90.116912,2024-03-09,US,34,"33,82",1,web,james,nelson,05876,0,0,0,0,0,1,1,0
14,robert.smith14@mail.com,Robert,Smith,5962 Main St,Phoenix,Phoenix County,SC,29463,business.io,468-265-8239,Other,1995-07-18,2020-02-03,1,,email_14,,Own,business.io,technology,domestic,38.397720,-116.854842,2020-02-03,US,17,"3,70",1,web,robert,smith,29463,0,0,0,0,0,1,1,0
15,kevin.miller15@mail.com,Kevin,Miller,6367 Main St,Seattle,Seattle County,IL,62418,web.net,835-867-3532,M,2005-03-26,2026-03-14,1,,email_15,White,Own,web.net,travel,organic,43.451408,-77.476478,2026-03-14,US,32,"18,61",,web,kevin,miller,62418,0,0,0,0,0,1,1,0
16,richard.robinson16@mail.com,Richard,Robinson,1876 Main St,San Jose,San Jose County,AZ,86374,test.org,428-124-4164,F,1971-05-28,2020-05-12,1,,email_16,,,test.org,food,domestic,46.602454,-118.656204,2020-05-12,US,34,"12,88",1,web,richard,robinson,86374,0,0,0,0,0,1,1,0
17,george.lee17@web.net,George,Lee,5020 Main St,Washington,Washington County,PA,18576,company.co,318-494-4114,F,1952-12-14,2020-09-26,1,,email_17,Other,,company.co,finance,domestic,34.919840,-72.811903,2020-09-26,US,43,"40,71",,web,george,lee,18576,0,0,0,0,0,1,1,0
18,charles.sanchez18@business.io,Charles,Sanchez,7338 Main St,San Jose,San Jose County,NY,12679,company.co,330-296-7888,Other,1974-11-24,2021-10-19,1,,email_18,Black,Rent,company.co,technology,fitness,31.599015,-101.356152,2021-10-19,US,75,"39,92",1,manual,charles,sanchez,12679,0,0,0,0,0,1,1,0
19,donald.mitchell19@test.org,Donald,Mitchell,6391 Main St,Chicago,Chicago County,NV,88847,mail.com,727-779-6491,M,2002-04-22,2022-04-26,1,,email_19,Hispanic,Own,mail.com,technology,mobile,30.631379,-98.867501,2022-04-26,US,99,"5,80",1,api,donald,mitchell,88847,1,0,0,0,0,1,1,0
20,elizabeth.adams20@business.io,Elizabeth,Adams,9076 Main St,New York,New York County,NM,88409,example.com,997-535-4585,M,2001-12-17,2023-01-18,1,,email_20,Hispanic,Own,example.com,music,casual,43.432582,-88.283225,2023-01-18,US,72,"39,71",1,manual,elizabeth,adams,88409,0,0,0,0,0,1,1,0
21,mark.taylor21@test.org,Mark,Taylor,6778 Main St,Dallas,Dallas County,NV,88787,company.co,696-741-4919,F,1978-02-23,2022-04-09,1,,email_21,Black,Rent,company.co,sports,casual,28.469105,-103.933059,2022-04-09,US,20,"46,64",0,manual,mark,taylor,88787,0,0,0,0,0,1,1,0
22,patricia.wilson22@web.net,Patricia,Wilson,2804 Main St,Fort Worth,Fort Worth County,MA,02691,company.co,912-120-7232,F,1950-06-10,2026-07-28,1,,email_22,Asian,,company.co,finance,rock,30.046698,-101.029021,2026-07-28,US,4,"25,72",,manual,patricia,wilson,02691,0,0,0,0,0,1,1,0
23,mary.sanchez23@company.co,Mary,Sanchez,7805 Main St,Denver,Denver County,NH,03885,business.io,227-185-8022,M,2005-08-06,2020-05-13,1,,email_23,Black,Own,business.io,music,domestic,32.762513,-76.619801,2020-05-13,US,36,"49,77",1,web,mary,sanchez,03885,0,0,0,0,0,1,1,0
24,joseph.adams24@example.com,Joseph,Adams,5196 Main St,Los Angeles,Los Angeles County,AK,99583,example.com,453-304-1333,Other,1959-04-05,2023-11-04,1,,email_24,Other,Own,example.com,music,fitness,42.638656,-115.771597,2023-11-04,US,78,"48,96",0,api,joseph,adams,99583,0,0,0,0,0,1,1,0
25,andrew.baker25@web.net,Andrew,Baker,6982 Main St,Fort Worth,Fort Worth County,CT,06521,business.io,403-177-4978,M,1994-05-28,2025-10-26,1,,email_25,White,,business.io,technology,domestic,37.253141,-88.616326,2025-10-26,US,9,"33,92",1,web,andrew,baker,06521,0,0,0,0,0,1,1,0
26,nancy.green26@web.net,Nancy,Green,9436 Main St,Phoenix,Phoenix County,NM,87720,web.net,380-851-9548,Other,1967-10-26,2024-08-15,1,,email_26,Asian,,web.net,health,domestic,44.589403,-79.309794,2024-08-15,US,12,"18,79",0,manual,nancy,green,87720,1,0,0,0,0,1,1,0
27,mary.young27@mail.com,Mary,Young,7442 Main St,Philadelphia,Philadelphia County,RI,03561,web.net,417-463-5232,F,1967-10-23,2022-09-01,1,,email_27,Other,Own,web.net,sports,investing,41.561717,-98.128218,2022-09-01,US,98,"16,95",1,manual,mary,young,03561,0,0,0,0,0,1,1,0
28,christopher.anderson28@web.net,Christopher,Anderson,3238 Main St,San Diego,San Diego County,WY,82162,mail.com,879-695-7046,F,1985-09-12,2023-12-18,1,,email_28,Black,Rent,mail.com,music,fitness,32.052329,-112.320408,2023-12-18,US,93,"13,71",0,api,christopher,anderson,82162,0,0,0,0,0,1,1,0
29,sarah.campbell29@company.co,Sarah,Campbell,300 Main St,Indianapolis,Indianapolis County,IL,62803,company.co,489-202-4180,F,1964-06-06,2022-01-23,1,,email_29,Other,Own,company.co,health,mobile,47.408783,-94.565257,2022-01-23,US,90,"9,91",1,web,sarah,campbell,62803,0,0,0,0,0,1,1,0
30,donald.lewis30@mail.com,Donald,Lewis,9866 Main St,Philadelphia,Philadelphia County,OK,74779,example.com,458-982-8827,M,2002-02-13,2023-02-19,1,,email_30,,,example.com,technology,casual,28.431544,-94.043822,2023-02-19,US,39,"6,66",0,manual,donald,lewis,74779,1,0,0,0,0,1,1,0
31,matthew.lewis31@web.net,Matthew,Lewis,4871 Main St,San Jose,San Jose County,WY,82866,company.co,639-412-1986,Other,1997-02-25,2021-11-07,1,,email_31,Black,,company.co,sports,casual,30.516899,-94.640426,2021-11-07,US,21,"1,77",1,manual,matthew,lewis,82866,0,0,0,0,0,1,1,0
32,dorothy.jackson32@business.io,Dorothy,Jackson,7295 Main St,Charlotte,Charlotte County,AZ,85482,example.com,903-339-5334,Other,1987-11-26,2021-07-04,1,,email_32,Other,Own,example.com,fashion,fitness,44.012517,-121.072459,2021-07-04,US,22,"20,89",,import,dorothy,jackson,85482,0,0,0,0,0,1,1,0
33,brian.sanchez33@mail.com,Brian,Sanchez,8602 Main St,Indianapolis,Indianapolis County,DE,19508,company.co,705-548-2317,Other,1952-07-24,2022-10-09,1,,email_33,White,Own,company.co,finance,mobile,47.990166,-88.024513,2022-10-09,US,35,"37,53",0,manual,brian,sanchez,19508,0,0,0,0,0,1,1,0
34,barbara.nguyen34@web.net,Barbara,Nguyen,5253 Main St,San Francisco,San Francisco County,SD,57465,example.com,681-456-7690,F,1970-11-04,2026-03-11,1,,email_34,Asian,,example.com,music,fitness,40.239421,-102.975126,2026-03-11,US,98,"36,53",1,web,barbara,nguyen,57465,0,0,0,0,0,1,1,0
35,deborah.sanchez35@company.co,Deborah,Sanchez,4020 Main St,New York,New York County,KS,67199,business.io,755-573-7770,M,1962-09-12,2024-08-21,1,,email_35,Asian,Own,business.io,finance,fitness,37.632052,-73.977998,2024-08-21,US,57,"45,82",0,web,deborah,sanchez,67199,0,0,0,0,0,1,1,0
36,emily.smith36@company.co,Emily,Smith,3222 Main St,Columbus,Columbus County,VT,05519,example.com,430-961-2858,F,1957-11-27,2021-08-23,1,,email_36,Black,,example.com,health,organic,44.198651,-71.086545,2021-08-23,US,32,"30,86",0,manual,emily,smith,05519,0,0,0,0,0,1,1,0
37,john.moore37@web.net,John,Moore,4012 Main St,Austin,Austin County,PA,19233,company.co,473-940-1042,F,1996-05-27,2024-10-22,1,,email_37,Asian,Own,company.co,music,rock,32.937851,-94.644542,2024-10-22,US,70,"25,80",1,api,john,moore,19233,0,0,0,0,0,1,1,0
38,deborah.clark38@example.com,Deborah,Clark,6817 Main St,Austin,Austin County,OK,74392,business.io,684-822-7246,F,1992-11-05,2023-01-05,1,,email_38,Other,,business.io,travel,football,45.106379,-100.783158,2023-01-05,US,68,"30,51",,api,deborah,clark,74392,0,0,0,0,0,1,1,0
39,donald.taylor39@mail.com,Donald,Taylor,7210 Main St,Washington,Washington County,SD,57132,business.io,607-765-2315,F,2004-11-28,2024-07-11,1,,email_39,,,business.io,music,mobile,39.201568,-112.087637,2024-07-11,US,88,"19,65",,web,donald,taylor,57132,1,0,0,0,0,1,1,0
40,william.hall40@mail.com,William,Hall,9654 Main St,New York,New York County,CT,06736,example.com,532-915-1919,F,1972-06-14,2021-04-17,1,,email_40,Asian,,example.com,fashion,casual,29.026595,-91.477952,2021-04-17,US,49,"40,94",0,manual,william,hall,06736,0,0,0,0,0,1,1,0
41,kenneth.taylor41@web.net,Kenneth,Taylor,9470 Main St,Dallas,Dallas County,FL,32765,business.io,209-923-8622,F,1993-09-06,2020-08-12,1,,email_41,Other,Rent,business.io,food,fitness,35.507224,-108.383308,2020-08-12,US,50,"31,57",0,manual,kenneth,taylor,32765,0,0,0,0,0,1,1,0
42,mary.nelson42@web.net,Mary,Nelson,745 Main St,Dallas,Dallas County,MI,49493,example.com,779-985-1803,Other,1997-08-27,2022-04-20,1,,email_42,Black,Own,example.com,finance,fitness,40.588583,-85.348939,2022-04-20,US,85,"44,59",,web,mary,nelson,49493,0,0,0,0,0,1,1,0
43,donna.white43@business.io,Donna,White,1333 Main St,Phoenix,Phoenix County,ME,04064,example.com,502-434-7807,M,1962-03-26,2024-06-17,1,,email_43,Other,Rent,example.com,fashion,fitness,46.023126,-73.069670,2024-06-17,US,38,"48,72",0,manual,donna,white,04064,1,0,0,0,0,1,1,0
44,emily.white44@example.com,Emily,White,1135 Main St,Fort Worth,Fort Worth County,FL,32661,example.com,470-649-3024,F,1973-11-24,2025-05-19,1,,email_44,Asian,,example.com,travel,football,40.521241,-99.068772,2025-05-19,US,80,"36,71",,api,emily,white,32661,0,0,0,0,0,1,1,0
45,carol.clark45@example.com,Carol,Clark,6170 Main St,Phoenix,Phoenix County,SC,29505,example.com,238-411-9071,M,1956-04-18,2021-07-15,1,,email_45,Black,,example.com,food,casual,45.364517,-88.979296,2021-07-15,US,63,"40,77",1,web,carol,clark,29505,0,0,0,0,0,1,1,0
46,jessica.white46@example.com,Jessica,White,9707 Main St,Jacksonville,Jacksonville County,IL,61738,company.co,860-467-1992,F,1967-04-04,2026-08-03,1,,email_46,,Own,company.co,technology,mobile,43.096276,-111.603711,2026-08-03,US,17,"37,64",0,api,jessica,white,61738,0,0,0,0,0,1,1,0
47,deborah.martinez47@company.co,Deborah,Martinez,1141 Main St,New York,New York County,IL,60548,mail.com,348-233-9850,F,2001-03-04,2025-01-05,1,,email_47,White,Rent,mail.com,finance,domestic,25.362965,-110.404787,2025-01-05,US,17,"48,77",,web,deborah,martinez,60548,0,0,0,0,0,1,1,0
48,steven.nguyen48@example.com,Steven,Nguyen,2530 Main St,Charlotte,Charlotte County,NJ,08603,company.co,426-729-1710,Other,2000-11-17,2022-08-21,1,,email_48,White,Own,company.co,music,organic,34.804293,-119.062099,2022-08-21,US,92,"29,55",0,import,steven,nguyen,08603,0,0,0,0,0,1,1,0
49,michelle.green49@company.co,Michelle,Green,5220 Main St,Seattle,Seattle County,CA,91460,business.io,532-490-9692,F,1979-09-20,2023-02-26,1,,email_49,,Own,business.io,finance,organic,35.385763,-112.432853,2023-02-26,US,44,"30,76",1,web,michelle,green,91460,0,0,0,0,0,1,1,0
50,nancy.martinez50@business.io,Nancy,Martinez,4812 Main St,San Francisco,San Francisco County,NE,69427,example.com,293-951-2398,M,1977-02-24,2025-06-26,1,,email_50,Hispanic,,example.com,technology,domestic,40.410305,-102.405525,2025-06-26,US,86,"49,78",,web,nancy,martinez,69427,1,0,0,0,0,1,1,0
