id,email_address,first_name,last_name,address,city,county_name,state,zip,website_source,phone_number,gender,dob,registration_date,valid,extra,email_id,ethnicity,ownrent,domain,main_interest,sub_interest,latitude,longitude,uploaded,country,websource_id,interest_ids,DNC,source,first_name_norm,last_name_norm,zip_norm,first_name_cleaning_candidate,last_name_cleaning_candidate,name_cleaning_candidate,email_blank,email_syntax_failure,proposed_email_export_eligible,zip_state_assessable,geography_mismatch_candidate
1,lisa.ramirez1@example.com,Lisa,Ramirez,5213 Main St,New York,New York County,CA,92310,test.org,485-778-6225,M,1953-06-26,2025-04-28,1,,email_1,Hispanic,Rent,test.org,health,casual,47.227230,-89.467644,2025-04-28,US,12,"29,57",,manual,lisa,ramirez,92310,0,0,0,0,0,1,1,0
2,lisa.baker2@example.com,Lisa,Baker,8803 Main St,Denver,Denver County,DC,20708,business.io,222-656-3244,Other,2001-05-10,2026-08-25,1,,email_2,,Own,business.io,travel,fitness,41.511640,-105.974860,2026-08-25,US,48,"30,73",0,web,lisa,baker,20708,0,0,0,0,0,1,1,0
3,michelle.davis3@web.net,Michelle,Davis,1287 Main St,Houston,Houston County,NH,03956,business.io,802-469-1074,F,1996-07-13,2024-08-19,1,,email_3,,Rent,business.io,music,investing,46.714228,-79.662514,2024-08-19,US,86,"2,73",0,manual,michelle,davis,03956,0,0,0,0,0,1,1,0
4,anthony.allen4@mail.com,Anthony,Allen,5292 Main St,San Antonio,San Antonio County,WV,24683,example.com,449-849-6427,F,1983-09-10,2025-07-15,1,,email_4,Black,Own,example.com,food,domestic,43.184946,-93.938714,2025-07-15,US,29,"45,93",1,api,anthony,allen,24683,0,0,0,0,0,1,1,0
5,andrew.rodriguez5@mail.com,Andrew,Rodriguez,5464 Main St,Houston,Houston County,OR,97828,business.io,537-524-7850,F,1981-07-03,2026-10-01,1,,email_5,White,Own,business.io,health,investing,47.943532,-80.326161,2026-10-01,US,2,"28,88",1,api,andrew,rodriguez,97828,0,0,0,0,0,1,1,0
6,david.brown6@example.com,David,Brown,1559 Main St,Chicago,Chicago County,WA,98088,business.io,937-425-4541,M,1951-07-06,2023-01-26,1,,email_6,White,,business.io,food,organic,46.320332,-98.297983,2023-01-26,US,76,"2,84",,manual,david,brown,98088,0,0,0,0,0,1,1,0
7,george.martinez7@company.co,George,Martinez,7092 Main St,Dallas,Dallas County,AZ,86822,example.com,906-803-1287,Other,1951-03-12,2023-10-20,1,,email_7,Hispanic,,example.com,music,investing,46.843647,-82.157487,2023-10-20,US,57,"43,56",1,manual,george,martinez,86822,0,0,0,0,0,1,1,0
8,matthew.young8@web.net,Matthew,Young,6849 Main St,Denver,Denver County,MN,55848,business.io,610-295-1244,M,2001-02-15,2026-07-20,1,,email_8,White,,business.io,technology,fitness,33.486754,-123.881696,2026-07-20,US,9,"35,54",,web,matthew,young,55848,0,0,0,0,0,1,1,0
9,charles.young9@web.net,Charles,Young,8230 Main St,Columbus,Columbus County,RI,03555,business.io,789-595-2169,M,1977-03-07,2026-08-01,1,,email_9,Black,Rent,business.io,health,mobile,32.072614,-99.565488,2026-08-01,US,34,"14,74",1,api,charles,young,03555,0,0,0,0,0,1,1,0
10,timothy.mitchell10@test.org,Timothy,Mitchell,1317 Main St,Phoenix,Phoenix County,SD,57336,example.com,394-671-7388,Other,1964-08-04,2024-09-20,1,,email_10,Hispanic,Own,example.com,health,domestic,26.668022,-89.835819,2024-09-20,US,63,"27,98",0,api,timothy,mitchell,57336,0,0,0,0,0,1,1,0
